epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,856.178,2.4504,3.68134,2.18222,0.00658,0.70196,0.02307,0.0079,1.90856,3.43393,1.90407,0.001984,0.000661333,0.001984,0.000661333,0.001984,0.000661333,0.001984,0.000661333
2,1466.39,1.89989,3.0601,1.71601,0.39527,0.37456,0.30163,0.1303,1.66359,2.42772,1.58174,0.00319517,0.00106506,0.00319517,0.00106506,0.00319517,0.00106506,0.00319517,0.00106506
3,2004.18,1.65572,2.38849,1.48323,0.42488,0.47865,0.3437,0.17638,1.57182,2.13788,1.47306,0.00361434,0.00120478,0.00361434,0.00120478,0.00361434,0.00120478,0.00361434,0.00120478
4,2516.13,1.5161,2.19953,1.38433,0.39998,0.49521,0.31793,0.16666,1.51642,2.10688,1.40208,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
5,3041.45,1.44906,2.09776,1.3375,0.38477,0.46627,0.30188,0.16409,1.48135,2.09979,1.35971,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
