epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,163.183,2.92286,6.80213,2.11746,0.00096,0.28125,0.00071,0.00018,2.78907,5.0726,2.08179,0.00138,0.00046,0.00138,0.00046,0.00138,0.00046,0.00138,0.00046
2,295.898,2.53787,6.01753,1.87926,0.00099,0.29167,0.0007,0.00025,2.31899,4.82932,1.8315,0.00254082,0.00084694,0.00254082,0.00084694,0.00254082,0.00084694,0.00254082,0.00084694
3,410.508,1.96782,5.37478,1.56652,0.00216,0.63542,0.00278,0.00113,2.04165,4.39038,1.43074,0.00341652,0.00113884,0.00341652,0.00113884,0.00341652,0.00113884,0.00341652,0.00113884
4,512.458,1.68199,4.79189,1.37048,0.0023,0.67708,0.02705,0.01968,1.64153,3.98874,1.34663,0.0040071,0.0013357,0.0040071,0.0013357,0.0040071,0.0013357,0.0040071,0.0013357
5,609.428,1.61828,4.51517,1.29806,0.34052,0.26042,0.2128,0.1205,1.64519,3.44998,1.31332,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
6,705.168,1.64566,4.35114,1.29825,0.25553,0.40625,0.19747,0.09785,1.83136,3.33691,1.29787,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
7,798.22,1.48493,3.60995,1.15899,0.29009,0.41667,0.22506,0.10309,1.83731,3.18845,1.30217,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
8,897.112,1.4496,3.87648,1.15861,0.28094,0.42708,0.24939,0.14332,1.59478,2.97898,1.23907,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
9,994.219,1.4879,3.61976,1.16585,0.28386,0.39583,0.19671,0.10326,1.72984,3.14373,1.27154,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
10,1094.88,1.40423,3.71823,1.16106,0.30041,0.41667,0.2168,0.12139,1.6514,3.02685,1.23994,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
