epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,119.124,3.07823,3.59269,1.45495,0.00623,0.01145,0.00348,0.00151,3.18381,3.58513,1.37049,0.00072,0.00024,0.00072,0.00024,0.00072,0.00024,0.00072,0.00024
2,205.748,2.88618,3.53786,1.35544,0.00913,0.01678,0.00501,0.00216,2.95649,3.56718,1.29963,0.0013515,0.0004505,0.0013515,0.0004505,0.0013515,0.0004505,0.0013515,0.0004505
3,290.5,2.73242,3.44559,1.25336,0.02391,0.04395,0.01356,0.00592,2.71707,3.51379,1.16866,0.00182856,0.00060952,0.00182856,0.00060952,0.00182856,0.00060952,0.00182856,0.00060952
4,370.486,2.51976,3.27358,1.16122,0.04855,0.08924,0.03028,0.0137,2.52082,3.43244,1.08182,0.00215118,0.00071706,0.00215118,0.00071706,0.00215118,0.00071706,0.00215118,0.00071706
5,437.43,2.45603,3.03428,1.11358,0.07464,0.13719,0.04869,0.02079,2.40299,3.30361,1.02648,0.00231936,0.00077312,0.00231936,0.00077312,0.00231936,0.00077312,0.00231936,0.00077312
6,510.674,2.41939,2.76417,1.09268,0.14899,0.27384,0.15682,0.07662,2.29706,2.9487,0.98915,0.0023331,0.0007777,0.0023331,0.0007777,0.0023331,0.0007777,0.0023331,0.0007777
7,571.854,2.39951,2.44058,1.0723,0.22681,0.41689,0.33908,0.15842,2.26119,2.5837,0.97665,0.0021924,0.0007308,0.0021924,0.0007308,0.0021924,0.0007308,0.0021924,0.0007308
8,639.696,2.37496,2.17344,1.05493,0.81713,0.32733,0.50093,0.21988,2.2455,2.02031,0.9669,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
9,703.372,2.37588,1.99123,1.0489,0.78494,0.35722,0.52452,0.22587,2.28099,1.82643,0.97202,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
10,763.861,2.38612,1.88137,1.0344,0.75729,0.41974,0.55867,0.23888,2.25798,1.68798,0.96597,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
